iter	MultiClass	Accuracy
0	0.8771062349	0.7335907336
1	0.7423729798	0.7953667954
2	0.6655961202	0.8108108108
3	0.6101273396	0.8069498069
4	0.5472435867	0.8262548263
5	0.5180643701	0.8301158301
6	0.4926744799	0.8455598456
7	0.4725600147	0.8455598456
8	0.4524437604	0.8416988417
9	0.4320863661	0.8455598456
10	0.4156635961	0.8764478764
11	0.3913560816	0.8764478764
12	0.3785884377	0.8687258687
13	0.3599851197	0.888030888
14	0.3432661104	0.9034749035
15	0.3293253823	0.9227799228
16	0.3125940483	0.9305019305
17	0.3017430437	0.9266409266
18	0.2923123172	0.9343629344
19	0.2870465681	0.9343629344
20	0.2758915927	0.9382239382
21	0.2685766129	0.9382239382
22	0.2568819888	0.9498069498
23	0.2490347395	0.9459459459
24	0.2418448836	0.9498069498
25	0.2307230497	0.9613899614
26	0.2258124198	0.9613899614
27	0.2188251187	0.9613899614
28	0.2111595877	0.972972973
29	0.2060216559	0.9652509653
30	0.1997177052	0.9691119691
31	0.1950172579	0.972972973
32	0.1917369668	0.972972973
33	0.1869764396	0.972972973
34	0.1814593846	0.972972973
35	0.1770250949	0.972972973
36	0.1728006411	0.9768339768
37	0.1696215894	0.9768339768
38	0.1649207686	0.9806949807
39	0.1609624382	0.972972973
40	0.1591070974	0.9845559846
41	0.1541501919	0.9884169884
42	0.1500749157	0.9884169884
43	0.14836287	0.9884169884
44	0.1442274321	0.9884169884
45	0.1402614111	0.9884169884
46	0.1374946097	0.9884169884
47	0.1342610602	0.9884169884
48	0.1316921451	0.9884169884
49	0.129456391	0.9884169884
