iter	Passed	Remaining
0	3	187
1	10	247
2	16	260
3	19	221
4	27	248
5	31	234
6	36	226
7	43	227
8	45	209
9	49	196
10	57	204
11	61	193
12	63	181
13	69	177
14	72	169
15	75	161
16	81	158
17	85	152
18	89	145
19	91	137
20	95	131
21	99	126
22	103	120
23	105	114
24	108	108
25	115	106
26	119	101
27	122	96
28	132	95
29	135	90
30	139	85
31	145	81
32	151	77
33	154	72
34	160	68
35	163	63
36	166	58
37	169	53
38	172	48
39	178	44
40	181	39
41	184	35
42	190	31
43	194	26
44	197	21
45	199	17
46	206	13
47	210	8
48	213	4
49	216	0
